dirout,0.029882113478533638
removeelementfiltereclass,0.009960704492844547
fviewpoint,0.029882113478533638
program,0.0025252525252525255
relation,0.006459961156683207
relationships,0.008210332824763878
comarchimatetoolmodelutilarchimatemodelutils,0.007186431036611947
viewpointmanagernoneviewpoint,0.009960704492844547
terms,0.0025252525252525255
else,0.007371375400901214
igraphcontentprovider,0.009960704492844547
if,0.007371375400901214
dirboth,0.04980352246422273
element,0.015140369925084298
accompanies,0.0025252525252525255
set<iarchimaterelationship>,0.009960704492844547
set<iarchimateconcept>,0.009960704492844547
in,0.0025252525252525255
inputchangedviewer,0.009960704492844547
made,0.0025252525252525255
is,0.007371375400901214
mainlistaddrelationship,0.009960704492844547
relationshipgetsource,0.009960704492844547
it,0.004709589488602537
an,0.004709589488602537
ifinputelement,0.009960704492844547
ifcount,0.009960704492844547
getrelationshipfilters,0.009960704492844547
iarchimaterelationshiprelgettarget,0.009960704492844547
mainlisttoarray,0.009960704492844547
javautilset,0.005896467340233182
fdirection,0.06972493144991182
ifarchimateconcept,0.019921408985689094
orgeclipsezestcoreviewersigraphcontentprovider,0.009960704492844547
getdepth,0.009960704492844547
getdestinationobject,0.009960704492844547
iffrelationshipclassesisempty,0.009960704492844547
=,0.045454545454545456
>,0.005046789975028099
object,0.026472945482276078
assertvp,0.009960704492844547
iarchimaterelationship,0.02463099847429163
viewer,0.010093579950056199
archimatemodelutilsgetallrelationshipsforconceptconcept,0.009960704492844547
other,0.01937988347004962
iarchimateconcept,0.021744237474125107
setdirectionint,0.009960704492844547
distribution,0.0025252525252525255
comarchimatetoolmodeliarchimateelement,0.008210332824763878
getrelationsmainlist,0.019921408985689094
file,0.0025252525252525255
are,0.0025252525252525255
comarchimatetoolmodeliarchimateconcept,0.005436059368531277
get,0.010872118737062553
foriarchimaterelationship,0.009960704492844547
override,0.014030626705937176
iffelementclassesisempty,0.009960704492844547
relationship,0.011792934680466364
getelementfilters,0.009960704492844547
mainlist,0.019921408985689094
ifmainlistcontainsrelationship,0.009960704492844547
oldinput,0.009960704492844547
getsourceobject,0.009960704492844547
orgeclipsejfaceviewersviewer,0.008210332824763878
felementclasses,0.019921408985689094
more,0.008210332824763878
checklist,0.019921408985689094
relationshipclass,0.019921408985689094
frelationshipclassesclear,0.009960704492844547
getviewpointfilter,0.009960704492844547
the,0.012626262626262626
getdirection,0.009960704492844547
set<eclass>,0.03984281797137819
deleted,0.007186431036611947
depth,0.02463099847429163
to,0.006244387768001164
fviewpointisallowedconceptothereclass,0.009960704492844547
relations,0.006459961156683207
under,0.0025252525252525255
frelationshipclassesaddrelationshipclass,0.009960704492844547
return,0.047979797979797977
iarchimateelement,0.014372862073223894
||,0.018838357954410148
comarchimatetoolmodelviewpointsviewpointmanager,0.006459961156683207
archimateconcept,0.019921408985689094
ifchecklistcontainsconcept,0.009960704492844547
felementclassesclear,0.009960704492844547
inputelement,0.019921408985689094
available,0.0025252525252525255
iviewpoint,0.014372862073223894
newinput,0.009960704492844547
felementclassesremoveelementclass,0.009960704492844547
source,0.005896467340233182
isvisibleiarchimateelement,0.009960704492844547
hashset<>,0.005896467340233182
isvisibleiarchimateelementother,0.009960704492844547
frelationshipclassescontainsrelationeclass,0.009960704492844547
linkedhashset<>,0.019921408985689094
than,0.007186431036611947
rel,0.016420665649527755
from,0.0039054133999193693
setdepthint,0.009960704492844547
ifarchimateconceptecontainer,0.009960704492844547
selected,0.005436059368531277
==,0.03122193884000582
add,0.004709589488602537
all,0.005436059368531277
iarchimateconceptinputelement,0.009960704492844547
iffviewpointisallowedconceptothereclass,0.009960704492844547
removerelationshipfiltereclass,0.009960704492844547
which,0.0025252525252525255
frelationshipclasses,0.019921408985689094
new,0.017676767676767676
fdepth,0.03984281797137819
package,0.0025252525252525255
static,0.014128768465807611
void,0.03296418306947429
author,0.005050505050505051
count,0.019921408985689094
isvisibleiarchimaterelationship,0.009960704492844547
this,0.005050505050505051
getelementsobject,0.009960704492844547
its,0.005896467340233182
check,0.007186431036611947
ifrel,0.019921408985689094
list,0.006459961156683207
iarchimaterelationshiprelgetsource,0.009960704492844547
graph,0.008210332824763878
relationshipgettarget,0.009960704492844547
beshown,0.009960704492844547
ifelementclass,0.016420665649527755
license,0.0025252525252525255
ifdirection,0.029882113478533638
null,0.020202020202020204
phillip,0.0025252525252525255
materials,0.0025252525252525255
count++,0.009960704492844547
final,0.015140369925084298
true,0.006967119301539919
dispose,0.004709589488602537
vp,0.014372862073223894
felementclassescontainselementeclass,0.009960704492844547
licensetxt,0.0025252525252525255
dirin,0.029882113478533638
implements,0.004412157580379347
comarchimatetoolzest,0.008210332824763878
no,0.006459961156683207
private,0.024977551072004656
import,0.030303030303030304
orgeclipseemfecoreeclass,0.005046789975028099
hashset<iarchimateconcept>,0.009960704492844547
concept,0.01937988347004962
setviewpointfilteriviewpoint,0.009960704492844547
content,0.007186431036611947
javautillinkedhashset,0.009960704492844547
public,0.045454545454545456
addelementfiltereclass,0.009960704492844547
provider,0.004146095672152512
and,0.010101010101010102
isvisiblerelationship,0.019921408985689094
of,0.005050505050505051
sarrodie,0.008210332824763878
ifother,0.009960704492844547
accompanying,0.0025252525252525255
class,0.0025252525252525255
direction,0.04105166412381939
getrelationsset<iarchimaterelationship>,0.009960704492844547
jeanbaptiste,0.008210332824763878
frelationshipclassesremoverelationshipclass,0.009960704492844547
felementclassesaddelementclass,0.009960704492844547
was,0.006459961156683207
zestviewercontentprovider,0.008210332824763878
comarchimatetoolmodeliarchimaterelationship,0.007186431036611947
int,0.03135203685692963
